date,highly sensitive person,hypersensible,anger management,gestion colere,time tracking freelance,facturation freelance
2021-04-04,57,53,75,0,0,0
2021-04-11,51,62,74,0,0,0
2021-04-18,49,57,73,0,0,0
2021-04-25,49,62,76,0,0,0
2021-05-02,51,69,80,0,0,0
2021-05-09,64,76,83,0,0,0
2021-05-16,79,57,78,0,0,0
2021-05-23,69,52,80,0,0,0
2021-05-30,57,49,80,0,0,0
2021-06-06,47,43,74,0,0,0
2021-06-13,58,64,78,0,0,0
2021-06-20,51,59,82,0,39,0
2021-06-27,53,47,79,0,0,0
2021-07-04,52,49,77,0,0,0
2021-07-11,50,47,76,0,0,0
2021-07-18,56,43,74,0,0,0
2021-07-25,50,43,78,0,42,0
2021-08-01,52,42,74,0,0,0
2021-08-08,49,35,77,0,0,0
2021-08-15,55,58,75,0,0,0
2021-08-22,49,50,75,1,0,0
2021-08-29,51,46,72,0,0,0
2021-09-05,58,55,69,0,0,0
2021-09-12,54,55,74,0,0,0
2021-09-19,56,61,74,0,0,0
2021-09-26,50,58,72,0,0,0
2021-10-03,45,54,73,1,0,0
2021-10-10,43,78,70,1,0,0
2021-10-17,41,75,76,0,0,0
2021-10-24,43,58,76,0,0,34
2021-10-31,47,65,75,0,0,0
2021-11-07,45,57,72,0,0,0
2021-11-14,58,64,69,0,0,0
2021-11-21,50,56,65,0,0,0
2021-11-28,46,57,67,1,0,0
2021-12-05,50,54,70,0,0,0
2021-12-12,49,45,72,1,0,0
2021-12-19,45,44,69,0,0,0
2021-12-26,58,49,70,0,0,0
2022-01-02,61,60,71,0,0,0
2022-01-09,58,59,71,0,0,0
2022-01-16,53,49,64,0,0,0
2022-01-23,53,53,73,0,0,0
2022-01-30,57,68,71,0,0,0
2022-02-06,57,60,75,0,0,0
2022-02-13,57,67,72,0,0,0
2022-02-20,54,62,71,0,0,0
2022-02-27,54,67,77,1,0,0
2022-03-06,48,52,71,0,0,0
2022-03-13,54,53,73,0,0,0
2022-03-20,78,51,69,0,0,0
2022-03-27,85,49,80,1,0,0
2022-04-03,63,58,75,1,0,0
2022-04-10,73,51,75,0,0,0
2022-04-17,60,55,71,0,0,0
2022-04-24,54,54,78,0,0,0
2022-05-01,55,58,76,0,0,28
2022-05-08,52,53,75,0,0,0
2022-05-15,51,58,75,0,0,0
2022-05-22,60,62,77,0,0,0
2022-05-29,100,54,70,0,0,0
2022-06-05,75,59,77,1,0,0
2022-06-12,66,53,76,0,0,0
2022-06-19,59,58,70,0,0,0
2022-06-26,54,48,66,0,0,0
2022-07-03,58,58,71,0,0,0
2022-07-10,55,46,67,0,0,0
2022-07-17,51,51,68,0,0,0
2022-07-24,53,52,69,0,0,0
2022-07-31,51,51,67,0,0,0
2022-08-07,57,54,70,0,0,0
2022-08-14,64,49,71,0,0,0
2022-08-21,57,51,66,0,0,0
2022-08-28,54,54,69,0,0,0
2022-09-04,50,53,65,0,0,0
2022-09-11,53,54,68,0,0,0
2022-09-18,51,52,74,1,0,0
2022-09-25,48,45,66,1,0,0
2022-10-02,55,47,68,0,38,0
2022-10-09,54,53,65,0,0,0
2022-10-16,53,48,72,0,0,0
2022-10-23,53,52,64,0,0,0
2022-10-30,60,56,63,0,0,0
2022-11-06,55,51,63,0,0,0
2022-11-13,60,52,66,0,0,0
2022-11-20,55,45,57,1,0,27
2022-11-27,57,48,62,0,0,0
2022-12-04,59,50,71,0,0,0
2022-12-11,59,50,67,1,0,0
2022-12-18,59,48,70,0,0,0
2022-12-25,55,50,68,0,0,0
2023-01-01,58,58,71,0,0,0
2023-01-08,52,59,69,0,0,0
2023-01-15,56,59,69,0,0,0
2023-01-22,55,58,71,1,0,0
2023-01-29,59,53,68,1,0,0
2023-02-05,57,49,75,0,0,0
2023-02-12,59,46,65,1,0,0
